address,balance_wei,balance_human
0xcf9714a76f7639978BC2ad7faCD19a1C5c2Fe05F,370007440000000000000000,370007.44
0x59380fCc103b00ccc05B97D31aE993Beb9621A28,364196277424656000000000,364196.277424656
0xeB048A5799172E32D43EeA511014365ae7e795fa,364044230681750000000000,364044.23068175
0x1Fd768EA318E91F3B28C4f044fe5E3f2848c4CAB,349479347448570000000000,349479.34744857
0x06312702273561C103C597157770586B97af762A,336558616616860000000000,336558.61661686
0x7cbDC88208cA8cc4d80E9CeC70426Ac7226D4CD9,335479912010298000000000,335479.912010298
0xac7c0B76b3E662baE421EFb839AE714A54691F0c,312500000000000000000000,312500.0
0x085E323AC894F417f5Fc8c9C57Cd5d7779FF1574,309036823653975600000000,309036.8236539756
0x8775f0C11786FF9f6984Df1Cda2e3aA56EAE299D,290792046976000000000000,290792.046976
0xe478E45D344E27677Fd380E0ED0f108A04Af7eD4,274098961020000000000000,274098.96102
0xA8a8f6B55d9748AD9E354c47C7144BBb2dD5247f,273161410593720000000000,273161.41059372
0x83dFA789Bcd5C98bbe408f4a15d04d62Ad0466E1,260802379178242000000000,260802.379178242
0x33fc4ccAe45d041C2650b38A015F17801D277aBF,253642649407404000000000,253642.64940740398
0x327681ecC9eE01184b6b57c5B59C67AcB80f253B,250000000000000000000000,250000.0
0xFF122A5f9654449d8464DE86Cb89EC15dFdE5451,250000000000000000000000,250000.0
0x4a49F5a50844efdb92A61672E0b7802DC2A02026,247753000000000000000000,247753.0
0x9a98b8dc78994AA7cDc1aE72101Cdda262C9BAFb,240000000000000000000000,240000.0
0x609fB6947CB8903318a4FB800b51233e33FeEE23,239420500000000000000000,239420.5
0x26f9c7EB7df07dE27a09dfd576D7D65A5BC2f0a5,234784820000000000000000,234784.82
0x061736Ec523F019f54203FA386Bc16C8c64Fb183,233310000000000000000000,233310.0
0x41be4005Eb39C9dEc8CaB6e1fa546F15b6bC91dF,227805928482000000000000,227805.92848200002
0x4A27Cb133AD44ba1AdcDB3cd69872B2469882b5f,227325000000000000000000,227325.0
0xdDbc13Fb7B0E807557b818C325Ffa9Fdd5B660d5,222396358695500000000000,222396.3586955
0xfb825828749435a66eB7710c0D743cb32Ae022dD,217734743665104000000000,217734.743665104
0xA3452652bf020e9ecB615ce6DCD73dEFBba84794,214950737000000000000000,214950.737
0xB5B312fF2C4eC945458086c4463877fe24e9972f,211552768982027600000000,211552.7689820276
0xE8b6bf2480c852e5a0D01B26eD1FfcFb01583455,208219582445462500000000,208219.5824454625
0xd32A318E3EA31E8bd8E7A256FCf09561DA943F9A,200919726173949600000000,200919.7261739496
0x799DD40ac13BfF40844454a1Baa97845A82F9140,200100000000000000000000,200100.0
0x7a4FB7E1Eb247cC74aA73Af3905793ee23D79C41,198000000000000000000000,198000.0
0x7B79474d2F8605eF0Cd91CC2b8FEe1b921768894,193741733443136162239650,193741.73344313615
0x1E9d6CBA29e4AA4A9E2587b19d3F0E68DE9b6552,192904215070369000000000,192904.215070369
0x1dd46D4e8a10C6B41dd16fC7382d0b4d9276CB5B,189714286000000000000000,189714.286
0x43534d4E628d466643D9Bd2Fcdd45aC308CDaf4e,189258591592465560000000,189258.59159246556
0x2062c9E206FAcb68621bc2f56880fcd59EFA9797,172297213000000000000000,172297.21300000002
0xdEb7F174e41826656C5DDe3024f2417fc5CC086C,171749052130000000000000,171749.05213
0xFEe85FC741e34d77c802e2BDE8f90b9E1EFc9EF9,162145497629637080000000,162145.49762963707
0x1e2A8137fC96Ce2D2433Af2FC160966C0dD1CB84,161550940000000000000000,161550.94
0xBeBf3CEE5b640Cbe8c3228B9A76E243FAA0a4170,156266400831861600000000,156266.4008318616
0x59E50B2AF185c39ba01d4664C2BF1E6026860b29,153800000000000000000000,153800.0
0x8CfF80B6d192Dd4263AfD0C45603cDc0Ea9d6B8e,152540541000000000000000,152540.541
0x71C97d784B583A2CBcFCD46e574CcF672EfAE0ac,151139165874400000000000,151139.16587440003
0xF00De8c30c12ac1dcBFB5b09eD7BC14808057DE1,151139165874400000000000,151139.16587440003
0xBdC64929b3F96E138073e8E6795f9B2319BFad88,150000000000000000000000,150000.0
0xA152b233a9C471BCEe9b7873133f83353c9f749A,141728468700000000000000,141728.4687
0x02A66D4aFB6625FF56D52A6BDD2eC5EB4abfa32C,140904552580000000000000,140904.55258000002
0xe7E969012557f25bECddB717A3aa2f4789ba9f9a,139234543579116858231461,139234.54357911687
0x8F9Fc3e61F23cEC9d28B847cceBdF7D7dEd1B83E,131434380000000000000000,131434.38
0xcbd36532cAd6E0a58CFD0aabe2774a61fee20E0F,131250000000000000000000,131250.0
0x206092Aa7E079F3eE56C773b5fCa576512128DF1,127609923287000000000000,127609.923287
0xB436c7f821934B1E2eb90F8850F69e53d0E901Bc,126344862000000000000000,126344.86200000001
0x2fd397a625d4B761A1fA091A29F8A211954B76ac,124750000000000000000000,124749.99999999999
0x3acAf5067aa9E7e39f5d862b8e252a2d06b1ef97,114815617290000000000000,114815.61729
0xd746F89d269498685b814CeB1eBd7DC87E8FFb20,113383167882600000000000,113383.1678826
0x903e4B0941E08bdcF0cBDC2359a3aa9D9539B8C2,110833982243325000000000,110833.98224332501
0x1F750d97984346AF6A514460E22Dfeb58Bd14b16,110156357325340000000000,110156.35732534001
0xD33ABB3706947c815edB0bf4463001ED0ee19B0D,106243152400000000000000,106243.1524
0x8e44b4f50210126d44b5a601f551dc5D6AF14e3F,103783528771586400000000,103783.5287715864
0x55b53453fd4D1F4E924fb61584104eccA3D118E3,102000000000000000000000,102000.0
0x3CBf2111fC6872f425EdCc0008F2fd488AE687e9,100406091108234516000000,100406.09110823453
0xf0708F6BC8E1FCE0c88C648372e6989787C385D0,100000574919056583464000,100000.57491905658
0x8B8a23652A4E5838Df2d40A9480f4d1B54a4F6ee,100000000000000000000000,99999.99999999999
0x28b5Ecf2F7F667DB31673824464C3330E034e1DB,100000000000000000000000,99999.99999999999
0xD7efd611EC0382919A77910488873421b4e32295,100000000000000000000000,99999.99999999999
0x32C4Da4F9B4b8d70e0Ed6564699E89a219180A11,100000000000000000000000,99999.99999999999
0x4eA7ea8fAC2667Ca3cBCaB2f284422ACA4Ff7499,100000000000000000000000,99999.99999999999
0x8307f5BdFE930aDAE7d8E22fb0c7d7e5C4e46388,100000000000000000000000,99999.99999999999
0x30e2898752f478e9092565F2b00eE09C3cC8184a,100000000000000000000000,99999.99999999999
0xc81D086Cb40eEC590050da440Ed33D6D6aE9452f,100000000000000000000000,99999.99999999999
0x6bBD9F3f1cD06C651e81C36F3884f30C57A64f6E,100000000000000000000000,99999.99999999999
0x3402B68d914FC72FeA29838b1b180860626B1717,100000000000000000000000,99999.99999999999
0xCD531EfADb2a5Fc230EE1B55a510Faa5E33a2FB8,93679757485200000000000,93679.7574852
0x0f44A9EbE8Df24a0fF1235562c7A1eE661a687A0,92858795175801600000000,92858.7951758016
0x87Fe225e9BC31030a291b06fa5A7C3E336F94091,87509184465842496000000,87509.1844658425
0x6a46808EAbcfe33b17325fe5817644Ed90A379Dd,78522000000000000000000,78522.0
0xCbB0310d63Aa7E4146FCf2560A0b8B154f2ecD90,75658486728000000000000,75658.486728
0x00276215CdACEa1915F57c10518b25158D8A0193,72793752000000000000000,72793.75200000001
0xca666abfdF2D31a3f4eFff8CED7c6504389E51Ba,72662066491920316926986,72662.06649192031
0x2931bB13f324A15463B256ed50aEcADC02a954bC,67283285350861214800000,67283.28535086122
0x87233d610A5Dc3A524915AF8c8C72a545a0E5520,65533821458247222934330,65533.82145824723
0xA7d68F95e27ec5a58C3aE1b258F6E6D66d067569,61845731460522420000000,61845.731460522424
0x4Fd7416C1EB8A1662641f4F9f250484BE260f422,60450000000000000000000,60450.00000000001
0xC514970E7552FC422D9dFc49559bAD6DCc55c6b3,59625000000000000000000,59625.0
0x0cFeaa001505b2f9cBa48ED9eac66379c536c660,58100000000000000000000,58100.0
0x0c828654eCB89d8D12B811616DFD48937E3B2104,56319711910000000000000,56319.71191
0x3A53DA473Cb44BC3409EDA6778781D2a035B2Ea6,51316114549798800000000,51316.1145497988
0xDa477310667D307a8303Eed0E666AAF7e74b7FC4,50184269960000000000000,50184.26996
0x59a0f4778BCD43FEba63B0F6729FE07c9Db58cA1,50000000000000000000000,49999.99999999999
0x4C47CB8AF52AC795839c7a49023A08e942562F74,50000000000000000000000,49999.99999999999
0x91caCF54a2d9B4F13b27596E6097e4d7CA1587c8,50000000000000000000000,49999.99999999999
0xe36FeA5392Ca61192859Ef6De1E6D38Cbb493cAE,50000000000000000000000,49999.99999999999
0x9de7C61A4d206BB07da349E67e32b49d5D3390C4,47771828000000000000000,47771.828
0x097C354aa15681c5332010e98c22C330C6CB469E,36673532280000000000000,36673.53228
0xe6f0Fbbb3fe9C065fE1885D261d59A875383C0fb,36593046996000000000000,36593.046996
0x56f35585858d8F0Bdcc4db183f8D76B97ce0735f,34261714052812646400000,34261.71405281265
0x21856108551dde8d2c97F6e6500A81f6B5EB56dF,34098973095000000000000,34098.973095
0xa3B2da3a150e484950e741d65E8b4B578bE6ACcd,33990117026140000000000,33990.117026140004
0xa4fd84c4b68749dFF6f6836C796e33f10E3Fc91c,33501160215600000000000,33501.1602156
0xe1d6E49dA53819E6190bc02fd2b06e03B88c98e3,33481525672584000000000,33481.525672584
0x62A8A961145A31b48b7a1d39F15db030399D38B9,29398902038000000000000,29398.902038
0xd00161605A8661fA0282c76719Db650965508495,28907688742539948000000,28907.688742539947
0x9EC0DB158372cF1c1c9998e322dc79d2a93b263C,27980834970000000000000,27980.83497
0xB7F698BC50779311f9A7E5b3406fFB6D6af5Ae59,27960050083200000000000,27960.0500832
0x845b0529b681421034Aff7eFc32513759C5DE714,27105555840000000000000,27105.555839999997
0x57FFb07825f23829c9C7a5bE1e294FD199151EFF,25000000000000000000000,24999.999999999996
0xAAEAC84b540aa074325706837500543a0992249A,23975000000000000000000,23975.0
0x62298795A0D23aEbaC73cE03A1a28F4992104025,23000000000000000000000,23000.000000000004
0x8c0D1CF5684C1dEa34FA9FF567E5bb2b6ACDbf4A,20112000000000000000000,20112.0
0xEf8a23E8A008dE643D07839712b2987c6765A17E,20037795934200000000000,20037.7959342
0xfc8f3324B6D71d14BfD625ECdbD18f3bc29A9935,19621597000000000000000,19621.596999999998
0xD75EB6300fbA093a23D8826b8Ba2C0D1580F17DB,18222625000000000000000,18222.625
0x66510072E9A1db78DFFa67bfAEB38B33F4538917,17964048000000000000000,17964.048
0x190E122B1a18BA4f8F7e20c1355a97586E5e7153,17347332000000000000000,17347.332000000002
0x4B315e0a1c127B1909c60BaFBb71594642fd3dc1,16729663394640504000000,16729.6633946405
0xd5733eE01264bD28c3E6a5E7629a055bf3eB4109,16683804879190680000000,16683.80487919068
0x7F4c1adCeB57d142536767C8518B4605A723D4d6,14962686425668882394102,14962.686425668882
0xeAC90f9E999787f6E98756a6cfa57EA23dD1B5c1,14238500000000000000000,14238.5
0x9b4DF9a1dDAF3253F9B2983b157BdC072982731d,10000000000000000000000,10000.0
0x7878732aeb5eb34C0927c871Ab144481cba44820,9480260000000000000000,9480.26
0x19AF495bda761DD8Df5f981617c83bB1995D193a,9161200000000000000000,9161.2
0x32A49Eb95E967C8f54CfeB12bdB4686A6D385df1,7582000000000000000000,7582.000000000001
0x3B244a2C08EdE0008CF745977d3752573F6aeC36,7500000000000000000000,7500.0
0x4c67C534186Ff5e983ACaC75161A7477AD13A36F,5548000000000000000000,5548.0
0x81FE59883645ff020C9E76a731bDE78ecaF3Dd92,5485181642297000000000,5485.181642297
0x7130D754ef42D4A6fB1c85987DD38ccb91A51b31,5029090360727627485352,5029.090360727627
0x20000001011b321c252b4018770cE2F33B0eAAA7,3676459000000000000000,3676.459
0xc9Bea9379A8Fade01240eE583535faC713B71014,2500000000000000000000,2500.0
0xC7d98c4c919E93eD44755718E27b53791E7F3521,1451282000000000000000,1451.282
0xE96e430E864F52Ab1a868C9adcb3Ba24c3781721,1000000000000000000000,1000.0
0xCE86679f3C30dF801050791A6f46E34489F6047a,973655000000000000000,973.6550000000001
0x0314c7fBF0bd957f65925bA49A868EF9029C24f1,787353000000000000000,787.353
0xb447c121d6928D7f8D296db56696194A607fAFd6,500000000000000000000,500.0
0x742de8A03D8AbA5318e2708D9A0d17B460EBad4B,461276939645376000000,461.276939645376
0x708c2a68f2dCe79f6C82C501d1FA29E253F97e3f,400000000000000000000,400.0
0x469A2f6604b456110b486dA4950D032958FDE447,302224000000000000000,302.224
